Country,Population
Japan,124.5
Ukraine,41.130432
Malaysia,33.0465
Afghanistan,32.890171
Burkina Faso,22.185654
Romania,19.053815
Dominican Republic,10.535535
Hungary,9.678
United Arab Emirates,9.28241
Turkmenistan,6.5161
Central African Republic,5.633412
New Zealand,5.1991
Georgia,3.7364
Mongolia,3.457548
Bosnia and Herzegovina,3.277082
Jamaica,2.825544
Solomon Islands,0.728041
Montenegro,0.617683
Belize,0.441471
Barbados,0.2678
Saint Lucia,0.178696
Grenada,0.112579
Saint Vincent and the Grenadines,0.110872
Antigua and Barbuda,0.100772
Tuvalu,0.010679
