Country,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005 ,2004,2003,2002,2001,2000,1999,1998,1997,1996,Average,Std,Max,Min
China,134.3,133.6,131.4,134.3,131.7,130.2,126.2,121.7,125.6,117.4,115.2,115.1,112.5,109.9,104.5,96.3,91.6,86.5,90.3,93.9,99.7,113.9,109.7,123.3,110.6,114.376,14.707203133158936,134.3,14.707203133158936
India,107.6,103.6,99.7,98.5,93.5,86.5,94.5,93.5,94.9,86.9,80.7,80.7,78.6,74.9,69.4,72.0,72.1,65.1,72.8,69.7,76.4,70.8,65.9,69.4,62.6,81.612,13.007546117542693,107.6,13.007546117542693
Russia,85.9,74.5,72.1,85.9,73.3,61.8,59.7,52.1,37.7,56.2,41.5,61.7,63.7,49.4,45.0,47.6,45.4,34.1,50.6,47.0,34.5,31.0,27.0,44.3,34.9,52.676,16.19832781493201,85.9,16.19832781493201
United States,49.7,52.3,51.3,47.3,62.9,55.8,55.4,60.0,61.8,54.4,60.1,60.3,68.0,53.6,57.3,57.1,58.7,63.8,44.1,53.3,60.8,62.7,69.4,67.5,62.0,57.983999999999995,6.240812767580838,69.4,6.240812767580838
Canada,35.2,32.3,31.8,30.0,30.5,27.6,29.3,37.5,27.0,25.3,23.2,26.8,28.6,20.6,27.3,25.6,25.9,23.6,16.2,20.6,26.8,26.9,24.1,24.3,29.8,27.072000000000003,4.526766616471408,37.5,4.526766616471408
France,30.1,40.6,35.8,36.9,29.5,42.8,39.0,38.6,40.3,38.0,38.2,38.3,39.0,33.2,35.4,36.9,39.7,30.5,38.9,31.5,37.5,37.2,39.8,33.9,35.9,36.7,3.4327831274346465,42.8,3.4327831274346465
Pakistan,25.2,24.4,25.1,26.7,26.0,25.1,26.0,24.2,23.5,25.2,23.3,24.0,21.0,23.5,21.3,21.6,19.5,19.2,18.2,19.0,21.1,17.9,18.7,16.7,16.9,22.132,3.072031249841056,26.7,3.072031249841056
Ukraine,24.9,28.4,24.7,26.2,26.1,26.5,24.1,22.8,15.8,22.3,16.9,20.9,25.9,13.8,14.0,18.7,17.5,6.9,20.6,21.4,10.2,13.6,14.9,18.4,13.5,19.56,5.609491955605249,28.4,5.609491955605249
Germany,22.2,23.1,20.3,24.5,24.5,26.5,27.8,25.0,22.4,22.8,24.1,25.2,26.0,21.4,22.4,23.6,25.4,19.3,20.8,22.8,21.6,19.6,20.2,19.8,18.9,22.808,2.385610194478553,27.8,2.385610194478553
Turkey,20.5,19.0,20.0,21.5,20.6,22.6,19.0,22.1,20.1,21.8,19.7,20.6,17.8,17.7,20.0,21.0,21.0,19.0,19.5,19.0,17.5,16.5,18.5,16.2,16.2,19.495999999999995,1.759427179510423,22.6,1.759427179510423
Argentina,19.8,19.5,18.5,18.4,18.6,11.6,13.9,8.0,11.0,16.4,14.9,8.9,8.5,16.5,14.0,16.0,14.6,14.5,12.3,15.4,16.5,15.7,11.5,14.8,15.9,14.627999999999998,3.2480788167776966,19.8,3.2480788167776966
Iran,15.0,16.8,14.5,14.0,11.1,11.5,13.5,14.0,13.8,13.5,15.0,13.5,8.0,15.9,14.5,14.5,14.0,13.4,12.5,9.5,7.0,8.0,11.0,10.2,8.8,12.540000000000001,2.613044201692731,16.8,2.613044201692731
