,Country,Continent,,,Country,,
0,Afghanistan,Asia,,,China,China,
1,Åland Islands,Europe,,,India,India,
2,Albania,Europe,,,Russia,#N/A,Russian Federation
3,Algeria,Africa,,,United States,#N/A,United States of America
4,American Samoa,Oceania,,,Canada,Canada,
5,Andorra,Europe,,,France,France,
6,Angola,Africa,,,Pakistan,Pakistan,
7,Anguilla,North America,,,Ukraine,Ukraine,
8,Antarctica,Antarctica,,,Germany,Germany,
9,Antigua and Barbuda,North America,,,Turkey,Turkey,
10,Argentina,South America,,,Argentina,Argentina,
11,Armenia,Asia,,,Iran,#N/A,Iran (Islamic Republic of)
12,Aruba,North America,,,Australia,Australia,
13,Australia,Oceania,,,Kazakhstan,Kazakhstan,
14,Austria,Europe,,,Poland,Poland,
15,Azerbaijan,Asia,,,United Kingdom,#N/A,United Kingdom of Great Britain and Northern Ireland
16,Bahamas,North America,,,Egypt,Egypt,
17,Bahrain,Asia,,,Spain,Spain,
18,Bangladesh,Asia,,,Romania,Romania,
19,Barbados,North America,,,Italy,Italy,
20,Belarus,Europe,,,Brazil,Brazil,
21,Belgium,Europe,,,Iraq,Iraq,
22,Belize,North America,,,Uzbekistan,Uzbekistan,
23,Benin,Africa,,,Ethiopia,Ethiopia,
24,Bermuda,North America,,,Afghanistan,Afghanistan,
25,Bhutan,Asia,,,Hungary,Hungary,
26,Bolivia (Plurinational State of),South America,,,Czech Republic,#N/A,Czechia
27,"Bonaire, Sint Eustatius and Saba",North America,,,Bulgaria,Bulgaria,
28,Bosnia and Herzegovina,Europe,,,Lithuania,Lithuania,
29,Botswana,Africa,,,Denmark,Denmark,
30,Bouvet Island,South America,,,Sweden,Sweden,
31,Brazil,South America,,,Algeria,Algeria,
32,British Indian Ocean Territory,Africa,,,Mexico,Mexico,
33,British Virgin Islands,North America,,,Serbia,Serbia,
34,Brunei Darussalam,Asia,,,Syria,#N/A,Syrian Arab Republic
35,Bulgaria,Europe,,,Belarus,Belarus,
36,Burkina Faso,Africa,,,Latvia,Latvia,
37,Burundi,Africa,,,Morocco,Morocco,
38,Cabo Verde,Africa,,,Nepal,Nepal,
39,Cambodia,Asia,,,Slovakia,Slovakia,
40,Cameroon,Africa,,,South Africa,South Africa,
41,Canada,North America,,,,,
42,Cayman Islands,North America,,,,,
43,Central African Republic,Africa,,,,,
44,Chad,Africa,,,,,
45,Chile,South America,,,,,
46,China,Asia,,,,,
47,"China, Hong Kong Special Administrative Region",Asia,,,,,
48,"China, Macao Special Administrative Region",Asia,,,,,
49,Christmas Island,Oceania,,,,,
50,Cocos (Keeling) Islands,Oceania,,,,,
51,Colombia,South America,,,,,
52,Comoros,Africa,,,,,
53,Congo,Africa,,,,,
54,Cook Islands,Oceania,,,,,
55,Costa Rica,North America,,,,,
56,Côte d’Ivoire,Africa,,,,,
57,Croatia,Europe,,,,,
58,Cuba,North America,,,,,
59,Curaçao,North America,,,,,
60,Cyprus,Asia,,,,,
61,Czechia,Europe,,,,,
62,Democratic People's Republic of Korea,Asia,,,,,
63,Democratic Republic of the Congo,Africa,,,,,
64,Denmark,Europe,,,,,
