,Country,,,Country,,,
0,Afghanistan,,,China,,China,
1,Albania,,,India,,India,
2,Algeria,,,Russia,,#N/A,Russian Federation
3,American Samoa,,,United States,,United States,
4,Andorra,,,Canada,,Canada,
5,Angola,,,France,,France,
6,Anguilla,,,Pakistan,,Pakistan,
7,Antarctica,,,Ukraine,,Ukraine,
8,Antigua and Barbuda,,,Germany,,Germany,
9,Argentina,,,Turkey,,#N/A,
10,Armenia,,,Argentina,,Argentina,
11,Aruba,,,Iran,,Iran,
12,Australia,,,Australia,,Australia,
13,Austria,,,Kazakhstan,,Kazakhstan,
14,Azerbaijan,,,Poland,,Poland,
15,Azores,,,United Kingdom,,United Kingdom,
16,Bahamas,,,Egypt,,Egypt,
17,Bahrain,,,Spain,,Spain,
18,Bangladesh,,,Romania,,Romania,
19,Barbados,,,Italy,,Italy,
20,Belarus,,,Brazil,,Brazil,
21,Belgium,,,Iraq,,Iraq,
22,Belize,,,Uzbekistan,,Uzbekistan,
23,Benin,,,Ethiopia,,Ethiopia,
24,Bermuda,,,Afghanistan,,Afghanistan,
25,Bhutan,,,Hungary,,Hungary,
26,Bolivia,,,Czech Republic,,Czech Republic,
27,Bonaire,,,Bulgaria,,Bulgaria,
28,Bosnia and Herzegovina,,,Lithuania,,Lithuania,
29,Botswana,,,Denmark,,Denmark,
30,Bouvet Island,,,Sweden,,Sweden,
31,Brazil,,,Algeria,,Algeria,
32,British Indian Ocean Territory,,,Mexico,,Mexico,
33,British Virgin Islands,,,Serbia,,Serbia,
34,Brunei Darussalam,,,Syria,,Syria,
35,Bulgaria,,,Belarus,,Belarus,
36,Burkina Faso,,,Latvia,,Latvia,
37,Burundi,,,Morocco,,Morocco,
38,Cabo Verde,,,Nepal,,Nepal,
39,Cambodia,,,Slovakia,,Slovakia,
40,Cameroon,,,South Africa,,South Africa,
41,Canada,,,,,,
42,Canarias,,,,,,
43,Cayman Islands,,,,,,
44,Central African Republic,,,,,,
45,Chad,,,,,,
46,Chile,,,,,,
47,China,,,,,,
48,Christmas Island,,,,,,
49,Cocos Islands,,,,,,
50,Colombia,,,,,,
51,Comoros,,,,,,
52,Congo,,,,,,
53,Congo DRC,,,,,,
54,Cook Islands,,,,,,
55,Costa Rica,,,,,,
56,Côte d'Ivoire,,,,,,
57,Croatia,,,,,,
58,Cuba,,,,,,
59,Curacao,,,,,,
60,Cyprus,,,,,,
61,Czech Republic,,,,,,
62,Denmark,,,,,,
63,Djibouti,,,,,,
64,Dominica,,,,,,
65,Dominican Republic,,,,,,
66,Ecuador,,,,,,
67,Egypt,,,,,,
68,El Salvador,,,,,,
69,Equatorial Guinea,,,,,,
70,Eritrea,,,,,,
71,Estonia,,,,,,
72,Eswatini,,,,,,
73,Ethiopia,,,,,,
74,Falkland Islands,,,,,,
75,Faroe Islands,,,,,,
76,Fiji,,,,,,
77,Finland,,,,,,
78,France,,,,,,
79,French Guiana,,,,,,
80,French Polynesia,,,,,,
81,French Southern Territories,,,,,,
82,Gabon,,,,,,
83,Gambia,,,,,,
84,Georgia,,,,,,
85,Germany,,,,,,
86,Ghana,,,,,,
87,Gibraltar,,,,,,
88,Glorioso Islands,,,,,,
89,Greece,,,,,,
90,Greenland,,,,,,
91,Grenada,,,,,,
92,Guadeloupe,,,,,,
93,Guam,,,,,,
94,Guatemala,,,,,,
95,Guernsey,,,,,,
96,Guinea,,,,,,
97,Guinea-Bissau,,,,,,
98,Guyana,,,,,,
99,Haiti,,,,,,
100,Heard Island and McDonald Islands,,,,,,
101,Honduras,,,,,,
102,Hungary,,,,,,
103,Iceland,,,,,,
104,India,,,,,,
105,Indonesia,,,,,,
106,Iran,,,,,,
107,Iraq,,,,,,
108,Ireland,,,,,,
109,Isle of Man,,,,,,
110,Israel,,,,,,
111,Italy,,,,,,
112,Jamaica,,,,,,
113,Japan,,,,,,
114,Jersey,,,,,,
115,Jordan,,,,,,
116,Juan De Nova Island,,,,,,
117,Kazakhstan,,,,,,
118,Kenya,,,,,,
119,Kiribati,,,,,,
120,Kuwait,,,,,,
121,Kyrgyzstan,,,,,,
122,Laos,,,,,,
123,Latvia,,,,,,
124,Lebanon,,,,,,
125,Lesotho,,,,,,
126,Liberia,,,,,,
127,Libya,,,,,,
128,Liechtenstein,,,,,,
129,Lithuania,,,,,,
130,Luxembourg,,,,,,
131,Madagascar,,,,,,
132,Madeira,,,,,,
133,Malawi,,,,,,
134,Malaysia,,,,,,
135,Maldives,,,,,,
136,Mali,,,,,,
137,Malta,,,,,,
138,Marshall Islands,,,,,,
139,Martinique,,,,,,
140,Mauritania,,,,,,
141,Mauritius,,,,,,
142,Mayotte,,,,,,
143,Mexico,,,,,,
144,Micronesia,,,,,,
145,Moldova,,,,,,
146,Monaco,,,,,,
147,Mongolia,,,,,,
148,Montenegro,,,,,,
149,Montserrat,,,,,,
150,Morocco,,,,,,
151,Mozambique,,,,,,
152,Myanmar,,,,,,
153,Namibia,,,,,,
154,Nauru,,,,,,
155,Nepal,,,,,,
156,Netherlands,,,,,,
157,New Caledonia,,,,,,
158,New Zealand,,,,,,
159,Nicaragua,,,,,,
160,Niger,,,,,,
161,Nigeria,,,,,,
162,Niue,,,,,,
163,Norfolk Island,,,,,,
164,North Korea,,,,,,
165,North Macedonia,,,,,,
166,Northern Mariana Islands,,,,,,
167,Norway,,,,,,
168,Oman,,,,,,
169,Pakistan,,,,,,
170,Palau,,,,,,
171,Palestinian Territory,,,,,,
172,Panama,,,,,,
173,Papua New Guinea,,,,,,
174,Paraguay,,,,,,
175,Peru,,,,,,
176,Philippines,,,,,,
177,Pitcairn,,,,,,
178,Poland,,,,,,
179,Portugal,,,,,,
180,Puerto Rico,,,,,,
181,Qatar,,,,,,
182,Réunion,,,,,,
183,Romania,,,,,,
184,Russian Federation,,,,,,
185,Rwanda,,,,,,
186,Saba,,,,,,
187,Saint Barthelemy,,,,,,
188,Saint Eustatius,,,,,,
189,Saint Helena,,,,,,
190,Saint Kitts and Nevis,,,,,,
191,Saint Lucia,,,,,,
192,Saint Martin,,,,,,
193,Saint Pierre and Miquelon,,,,,,
194,Saint Vincent and the Grenadines,,,,,,
195,Samoa,,,,,,
196,San Marino,,,,,,
197,Sao Tome and Principe,,,,,,
198,Saudi Arabia,,,,,,
199,Senegal,,,,,,
200,Serbia,,,,,,
201,Seychelles,,,,,,
202,Sierra Leone,,,,,,
203,Singapore,,,,,,
204,Sint Maarten,,,,,,
205,Slovakia,,,,,,
206,Slovenia,,,,,,
207,Solomon Islands,,,,,,
208,Somalia,,,,,,
209,South Africa,,,,,,
210,South Georgia and South Sandwich Islands,,,,,,
211,South Korea,,,,,,
212,South Sudan,,,,,,
213,Spain,,,,,,
214,Sri Lanka,,,,,,
215,Sudan,,,,,,
216,Suriname,,,,,,
217,Svalbard,,,,,,
218,Sweden,,,,,,
219,Switzerland,,,,,,
220,Syria,,,,,,
221,Tajikistan,,,,,,
222,Tanzania,,,,,,
223,Thailand,,,,,,
224,Timor-Leste,,,,,,
225,Togo,,,,,,
226,Tokelau,,,,,,
227,Tonga,,,,,,
228,Trinidad and Tobago,,,,,,
229,Tunisia,,,,,,
230,Turkiye,,,,,,
231,Turkmenistan,,,,,,
232,Turks and Caicos Islands,,,,,,
233,Tuvalu,,,,,,
234,Uganda,,,,,,
235,Ukraine,,,,,,
236,United Arab Emirates,,,,,,
237,United Kingdom,,,,,,
238,United States,,,,,,
239,United States Minor Outlying Islands,,,,,,
240,Uruguay,,,,,,
241,US Virgin Islands,,,,,,
242,Uzbekistan,,,,,,
243,Vanuatu,,,,,,
244,Vatican City,,,,,,
245,Venezuela,,,,,,
246,Vietnam,,,,,,
247,Wallis and Futuna,,,,,,
248,Yemen,,,,,,
249,Zambia,,,,,,
250,Zimbabwe,,,,,,
